participant_id,consent,trial0_elapsed_time,trial0_windex,w0_completion_time,w0_chef1,w0_chef2,sentChefHome,finalScore,trial1_elapsed_time,trial1_windex,w1_completion_time,w1_chef1,w1_chef2,optimal_time,round_score,trial2_elapsed_time,trial2_windex,w2_completion_time,w2_chef1,w2_chef2,trial3_elapsed_time,trial3_windex,w3_completion_time,w3_chef1,w3_chef2,trial4_elapsed_time,trial4_windex,w5_completion_time,w5_chef1,w5_chef2,trial5_elapsed_time,trial5_windex,w8_completion_time,w8_chef1,w8_chef2,trial6_elapsed_time,trial6_windex,w10_completion_time,w10_chef1,w10_chef2,trial7_elapsed_time,trial7_windex,w9_completion_time,w9_chef1,w9_chef2,trial8_elapsed_time,trial8_windex,w4_completion_time,w4_chef1,w4_chef2,trial9_elapsed_time,trial9_windex,w6_completion_time,w6_chef1,w6_chef2,trial10_elapsed_time,trial10_windex,w7_completion_time,w7_chef1,w7_chef2,language,enjoyment,assess,age,gender_cat,education
P028,true,140.732,0,206,"[4, 5, 6, 8]","[1, 7, 3, 9, 2, 10]",false,91,24.973,5,195,"[2, 4, 3, 5, 8]","[7, 1, 9, 10, 6]",213,0.4014084507042254,26.273,1,196,"[3, 2, 7, 10]","[6, 4, 9, 1, 8, 5]",21.639,2,220,"[6, 3, 4, 10, 2]","[1, 7, 9, 5, 8]",23.059,7,187,"[4, 3, 9]","[6, 7, 2, 1, 8, 5, 10]",21.665,6,203,"[3, 4, 2, 1, 7, 10]","[9, 5, 6, 8]",23.346,8,208,"[10, 2, 3, 4, 8, 5, 9]","[7, 1, 6]",22.511,10,234,"[5, 2, 8, 10, 4, 1]","[6, 7, 3, 9]",23.898,3,198,"[3, 4, 6, 8]","[7, 2, 5, 9, 10, 1]",24.706,4,220,"[2, 4, 3, 1, 5]","[6, 7, 8, 9, 10]",24.478,9,219,"[2, 1, 8]","[5, 6, 7, 3, 9, 4, 10]",English,better,y,35,m,high
P029,true,202.797,0,206,"[2, 4, 5, 8]","[1, 3, 7, 10, 6, 9]",false,100,50.56,10,195,"[2, 6, 3, 5, 10]","[1, 7, 9, 4, 8]",201,0.5,34.454,4,196,"[2, 5, 7, 10]","[1, 4, 6, 8, 9, 3]",29.269,1,201,"[3, 8, 2, 6]","[1, 7, 9, 5, 4, 10]",37.722,6,187,"[3, 5, 4]","[1, 2, 6, 7, 8, 9, 10]",28.708,5,193,"[1, 6, 2, 7, 10]","[3, 9, 5, 4, 8]",31.369,2,208,"[2, 3, 4, 8, 10, 6, 9]","[1, 5, 7]",50.757,9,234,"[5, 8, 10, 3, 6, 9]","[1, 2, 4, 7]",34.844,8,198,"[3, 4, 6, 8]","[1, 2, 5, 7, 9, 10]",29.567,7,208,"[2, 4, 6, 1, 7, 9]","[3, 5, 8, 10]",28.92,3,219,"[2, 8, 1]","[3, 6, 7, 5, 9, 10, 4]",German,average,y,23,m,college
P030,true,480.365,0,245,"[6, 3, 7, 10]","[1, 4, 5, 2, 9, 8]",false,100,66.067,5,195,"[2, 5, 10, 8, 6]","[1, 7, 9, 3, 4]",201,0.5,36.414,9,210,"[4, 9, 7, 3]","[6, 8, 1, 10, 5, 2]",35.356,10,201,"[6, 10, 2, 8]","[1, 7, 9, 4, 3, 5]",40.175,2,249,"[1, 2, 8, 6]","[3, 5, 4, 9, 10, 7]",30.206,8,203,"[3, 7, 4, 10, 8, 1]","[9, 5, 6, 2]",30.987,7,194,"[1, 6, 2, 3, 4, 10]","[7, 5, 9, 8]",26.902,1,234,"[5, 8, 10, 3, 6, 4]","[1, 9, 7, 2]",32.724,4,198,"[3, 6, 4, 10]","[2, 8, 7, 1, 5, 9]",36.418,6,232,"[6, 8, 10, 9]","[2, 4, 7, 5, 1, 3]",33.758,3,213,"[4, 8, 9, 7, 6]","[2, 1, 10, 5, 3]",English,average,y,51,f,college
P031,true,223.28,0,219,"[1, 5, 4, 9]","[2, 3, 8, 7, 6, 10]",false,100,33.832,4,195,"[3, 2, 4, 6, 10]","[1, 7, 9, 5, 8]",201,0.5,37.848,7,196,"[2, 5, 3, 10]","[1, 4, 6, 9, 8, 7]",61.932,2,201,"[2, 4, 5, 8]","[7, 9, 1, 3, 6, 10]",36.953,10,187,"[3, 5, 9]","[6, 2, 1, 7, 8, 4, 10]",67.486,9,193,"[1, 4, 5, 7, 10]","[3, 9, 2, 6, 8]",34.609,8,208,"[2, 3, 4, 8, 10, 6, 9]","[5, 1, 7]",36.159,5,213,"[5, 6, 10, 3, 7]","[1, 8, 2, 4, 9]",33.149,6,220,"[1, 2, 6, 8]","[3, 4, 5, 7, 9, 10]",35.333,1,220,"[4, 2, 5, 1, 9]","[6, 7, 3, 8, 10]",37.785,3,232,"[1, 4, 7, 9, 10]","[3, 2, 5, 6, 8]",,better,y,51,f,grad
P032,true,1264.876,0,206,"[2, 4, 8, 5]","[1, 3, 7, 6, 10, 9]",false,92,60.505,3,195,"[2, 10, 6, 3, 8]","[1, 7, 9, 5, 4]",194,0.4278350515463918,65.428,9,210,"[10, 4, 6, 7]","[1, 5, 2, 3, 9, 8]",42.739,8,201,"[2, 4, 10, 5]","[1, 7, 3, 6, 9, 8]",42.737,6,187,"[4, 3, 9]","[1, 2, 8, 6, 7, 5, 10]",40.804,4,203,"[9, 2, 4, 6, 8, 10]","[3, 1, 5, 7]",48.59,2,208,"[4, 3, 2, 8, 10, 9, 7]","[1, 5, 6]",41.959,1,234,"[8, 10, 2, 5, 6, 7]","[1, 3, 4, 9]",44.668,5,222,"[3, 4, 6, 8, 10]","[1, 2, 5, 7, 9]",42.014,7,208,"[2, 4, 6, 3, 7, 9]","[1, 5, 8, 10]",41.044,10,219,"[10, 4, 2]","[9, 6, 5, 7, 3, 8, 1]",German,average,y,41,f,high
P033,true,173.123,0,206,"[4, 5, 2, 6]","[1, 7, 10, 3, 8, 9]",false,89,39.711,5,195,"[10, 5, 4, 2, 8]","[9, 1, 7, 3, 6]",198,0.3787878787878788,36.407,6,196,"[10, 7, 3, 5]","[9, 8, 4, 6, 1, 2]",38.874,1,201,"[10, 5, 4, 6]","[9, 7, 1, 3, 2, 8]",34.994,7,187,"[10, 3, 5]","[6, 7, 8, 2, 1, 4, 9]",29.56,10,193,"[8, 6, 2, 7, 10]","[9, 3, 5, 4, 1]",30.408,2,208,"[8, 10, 4, 3, 2, 6, 1]","[9, 5, 7]",32.963,9,234,"[10, 5, 8, 2, 9, 7]","[6, 4, 3, 1]",25.995,8,222,"[4, 6, 3, 8, 1]","[10, 9, 5, 7, 2]",33.558,3,208,"[4, 2, 6, 3, 1, 8]","[10, 5, 7, 9]",34.845,4,219,"[10, 4, 8]","[5, 9, 6, 3, 7, 1, 2]",English,better,y,35,f,college
P034,true,279.588,0,230,"[2, 5, 6, 8, 9]","[1, 3, 7, 10, 4]",false,80,48.716,9,195,"[6, 5, 4, 3, 10]","[1, 7, 9, 2, 8]",208,0.3846153846153846,41.457,7,196,"[7, 10, 3, 5]","[4, 6, 8, 9, 1, 2]",39.13,10,201,"[2, 3, 5, 8]","[7, 9, 10, 1, 6, 4]",43.005,5,187,"[5, 9, 10]","[6, 1, 7, 2, 8, 4, 3]",37.282,2,228,"[6, 2, 1, 8, 5, 10]","[3, 9, 4, 7]",49.517,4,206,"[5, 7, 8, 9]","[1, 6, 4, 2, 3, 10]",52.124,8,224,"[3, 6, 7, 9]","[4, 1, 2, 8, 5, 10]",39.565,3,198,"[3, 4, 6, 8]","[7, 5, 1, 2, 9, 10]",30.386,1,232,"[6, 1, 5, 8]","[2, 4, 3, 7, 9, 10]",31.337,6,200,"[1, 4, 7, 10]","[2, 8, 3, 5, 6, 9]",,better,y,26,m,some-college
P035,true,190.643,0,206,"[6, 8, 5, 2]","[1, 3, 7, 10, 4, 9]",false,91,37.816,8,195,"[3, 5, 4, 10, 6]","[1, 7, 9, 2, 8]",213,0.4014084507042254,52.833,10,196,"[5, 7, 10, 2]","[4, 6, 8, 9, 1, 3]",57.357,6,201,"[6, 10, 4, 2]","[1, 7, 9, 5, 3, 8]",46.706,7,187,"[3, 5, 10]","[6, 7, 8, 2, 1, 9, 4]",33.86,4,193,"[4, 8, 7, 5, 1]","[3, 9, 10, 6, 2]",35.558,5,208,"[4, 3, 2, 8, 10, 6, 1]","[5, 7, 9]",36.349,1,234,"[5, 8, 10, 3, 2, 1]","[4, 6, 7, 9]",52.123,3,198,"[4, 3, 6, 10]","[7, 5, 8, 9, 2, 1]",36.69,2,208,"[2, 4, 6, 1, 10, 7]","[5, 3, 8, 9]",66.885,9,219,"[4, 2, 1]","[5, 7, 6, 3, 9, 8, 10]",English,better,y,46,m,grad
P036,true,259.792,0,232,"[3, 4, 6, 10]","[2, 1, 5, 8, 9, 7]",false,100,34.022,7,221,"[2, 1, 10, 4, 9]","[5, 7, 8, 6, 3]",213,0.5,27.572,5,210,"[9, 8, 3, 7]","[1, 6, 4, 2, 5, 10]",32.271,3,267,"[1, 2, 3, 7, 9, 10]","[6, 4, 5, 8]",36.387,10,218,"[1, 3, 8, 4]","[6, 2, 10, 9, 7, 5]",27.163,6,228,"[3, 5, 9, 4, 6, 8]","[1, 2, 7, 10]",31.197,8,267,"[2, 3, 4, 5, 10, 7, 9, 8]","[1, 6]",27.967,1,213,"[9, 1, 2, 5, 10]","[6, 4, 3, 7, 8]",26.042,4,209,"[4, 1, 6, 10]","[3, 2, 5, 7, 8, 9]",26.071,2,220,"[1, 4, 6, 7, 9]","[2, 3, 5, 8, 10]",27.192,9,240,"[1, 3, 5, 7, 9, 10]","[2, 4, 6, 8]",english,better,y,33,m,some-high
P037,true,255.226,0,219,"[4, 8, 2, 7]","[10, 1, 5, 6, 9, 3]",false,75,32.564,9,195,"[3, 2, 4, 6, 8]","[7, 9, 1, 5, 10]",196,0.4744897959183674,33.796,6,201,"[3, 7, 1, 10]","[4, 8, 9, 6, 5, 2]",28.856,5,201,"[10, 8, 3, 5]","[9, 7, 1, 6, 2, 4]",32.521,7,187,"[5, 4, 10]","[1, 6, 7, 8, 2, 9, 3]",35.424,8,228,"[3, 9, 5, 6, 7, 8]","[10, 4, 2, 1]",30.571,3,194,"[4, 2, 8, 10, 7, 6]","[3, 5, 9, 1]",35.136,4,213,"[2, 7, 4, 10, 5]","[3, 6, 9, 1, 8]",30.591,1,209,"[6, 3, 8, 7]","[4, 10, 5, 9, 1, 2]",29.614,10,232,"[2, 10, 7, 9]","[6, 4, 3, 1, 5, 8]",29.161,2,232,"[3, 6, 10, 2, 4]","[5, 7, 9, 8, 1]",German,better,y,49,f,college
P038,true,248.717,0,219,"[9, 2, 4, 1]","[10, 8, 5, 3, 6, 7]",false,86,53.888,4,195,"[3, 6, 4, 8, 10]","[9, 1, 7, 2, 5]",200,0.405,40.804,3,196,"[10, 7, 5, 2]","[4, 9, 1, 6, 8, 3]",39.267,1,201,"[3, 6, 2, 8]","[9, 1, 7, 4, 5, 10]",83.228,8,187,"[10, 4, 3]","[5, 2, 1, 8, 6, 7, 9]",50.872,6,203,"[2, 9, 8, 4, 7, 10]","[3, 6, 1, 5]",45.383,9,208,"[8, 10, 4, 3, 2, 5, 9]","[1, 7, 6]",51.046,5,224,"[9, 4, 6, 7]","[8, 10, 3, 1, 5, 2]",42.163,2,198,"[3, 4, 6, 10]","[9, 2, 5, 1, 7, 8]",44.619,10,208,"[8, 5, 2, 6, 4, 7]","[9, 3, 1, 10]",39.561,7,219,"[10, 4, 2]","[9, 3, 5, 6, 7, 8, 1]",English,better,y,49,m,grad
P039,true,373.586,0,206,"[8, 5, 4, 6]","[10, 7, 3, 1, 9, 2]",false,100,47.47,7,195,"[2, 10, 4, 8, 5]","[9, 7, 3, 1, 6]",193,0.5,67.099,5,196,"[7, 3, 5, 2]","[10, 8, 4, 1, 6, 9]",42.514,9,221,"[7, 8, 4, 5, 6]","[10, 9, 3, 2, 1]",42.533,6,209,"[4, 5, 9, 7]","[3, 6, 2, 8, 10, 1]",41.352,1,193,"[2, 8, 5, 6, 7]","[9, 10, 4, 3, 1]",61.994,3,217,"[2, 5, 6, 4, 8]","[9, 10, 3, 7, 1]",49.36,10,213,"[5, 6, 10, 1, 9]","[8, 4, 2, 7, 3]",38.099,2,198,"[3, 6, 4, 1]","[2, 10, 5, 7, 8, 9]",51.393,4,208,"[4, 2, 6, 8, 1, 9]","[7, 5, 3, 10]",37.129,8,232,"[2, 6, 3, 10, 1]","[9, 5, 7, 4, 8]",,better,y,26,,college
P040,true,246.362,0,232,"[4, 3, 1, 8]","[6, 7, 5, 10, 2, 9]",false,91,32.279,4,195,"[5, 4, 3, 2, 8]","[6, 7, 9, 1, 10]",193,0.4481865284974093,37.092,1,222,"[6, 4, 2, 1]","[5, 7, 3, 8, 10, 9]",40.264,6,201,"[5, 4, 8, 2]","[6, 7, 9, 1, 10, 3]",31.793,5,209,"[5, 4, 3, 1]","[10, 6, 7, 9, 8, 2]",30.225,3,203,"[9, 6, 2, 7, 10, 1]","[3, 4, 5, 8]",24.452,2,229,"[5, 7, 9]","[6, 4, 8, 3, 2, 10, 1]",32.84,7,234,"[7, 8, 2, 3]","[5, 4, 6, 10, 9, 1]",27.993,9,198,"[6, 4, 3, 2]","[5, 8, 7, 10, 9, 1]",23.914,10,232,"[5, 2, 10, 7]","[6, 4, 3, 8, 1, 9]",36.047,8,213,"[5, 4, 7, 3, 1]","[10, 6, 2, 9, 8]",English,better,y,28,m,grad
P041,true,589.936,0,206,"[2, 5, 6, 8]","[1, 3, 7, 10, 9, 4]",false,100,50.791,8,195,"[10, 5, 8, 4, 2]","[9, 7, 1, 6, 3]",195,0.5,40.664,10,196,"[10, 5, 3, 2]","[8, 4, 1, 9, 6, 7]",43.048,2,201,"[10, 4, 6, 2]","[9, 7, 1, 5, 8, 3]",33.906,4,187,"[4, 5, 9]","[6, 7, 8, 2, 1, 10, 3]",37.575,3,193,"[5, 8, 6, 4, 1]","[3, 9, 7, 10, 2]",44.262,7,208,"[10, 8, 4, 3, 2, 7, 1]","[9, 6, 5]",33.307,9,224,"[4, 6, 9, 1]","[5, 10, 8, 2, 7, 3]",47.972,5,222,"[3, 6, 4, 2, 1]","[5, 10, 7, 8, 9]",41.73,6,232,"[4, 5, 10, 7]","[6, 2, 8, 9, 3, 1]",39.471,1,219,"[10, 4, 8]","[9, 5, 7, 3, 6, 2, 1]",English,better,y,24,m,grad
P042,true,290.897,0,219,"[1, 5, 2, 9]","[10, 6, 3, 7, 8, 4]",false,92,30.954,8,208,"[10, 4, 7, 2, 8]","[9, 5, 6, 3, 1]",194,0.4278350515463918,40.51,7,210,"[9, 3, 4, 7]","[10, 5, 6, 1, 8, 2]",36.229,1,221,"[8, 2, 3, 1, 4]","[7, 9, 5, 6, 10]",31.119,6,187,"[10, 3, 9]","[6, 7, 8, 2, 1, 5, 4]",35.606,4,228,"[9, 1, 3, 5, 4, 8]","[10, 6, 7, 2]",30.092,9,208,"[10, 4, 3, 2, 8, 5, 1]","[9, 6, 7]",31.936,2,224,"[9, 3, 2, 1]","[10, 5, 8, 4, 6, 7]",34.314,5,209,"[6, 3, 5, 7]","[10, 4, 8, 9, 2, 1]",43.998,3,208,"[4, 6, 2, 7, 8, 3]","[10, 5, 9, 1]",30.736,10,232,"[2, 6, 4, 9, 1]","[10, 5, 7, 3, 8]",spanish,average,y,30,f,high
P043,true,213.08,0,206,"[5, 4, 2, 8]","[1, 7, 10, 3, 9, 6]",false,86,37.303,6,195,"[10, 5, 3, 8, 6]","[7, 4, 1, 9, 2]",200,0.405,33.351,3,196,"[3, 2, 5, 7]","[6, 8, 9, 4, 1, 10]",35.628,1,201,"[2, 6, 4, 10]","[9, 7, 1, 5, 8, 3]",38.289,9,187,"[3, 4, 10]","[6, 7, 8, 2, 1, 5, 9]",28.445,5,193,"[8, 5, 2, 7, 1]","[9, 3, 10, 4, 6]",31.356,4,208,"[8, 10, 3, 4, 2, 7, 1]","[9, 6, 5]",28.391,10,234,"[8, 10, 5, 7, 6, 1]","[9, 4, 3, 2]",31.502,8,222,"[4, 6, 3, 2, 1]","[9, 7, 5, 10, 8]",37.819,2,208,"[4, 2, 6, 7, 9, 10]","[5, 8, 3, 1]",35.456,7,219,"[8, 4, 10]","[9, 7, 3, 5, 6, 2, 1]",English,better,y,59,m,college
P044,true,148.766,0,258,"[10, 7, 3, 1]","[9, 6, 8, 2, 5, 4]",false,100,38.247,9,195,"[10, 5, 8, 3, 2]","[9, 7, 1, 4, 6]",193,0.5,37.459,5,196,"[5, 7, 3, 10]","[8, 9, 6, 1, 4, 2]",66.502,6,201,"[6, 8, 3, 2]","[7, 9, 1, 10, 4, 5]",37.067,2,209,"[9, 5, 4, 1]","[7, 6, 8, 2, 3, 10]",37.639,7,193,"[5, 10, 8, 2, 1]","[9, 3, 6, 4, 7]",36.991,10,208,"[2, 3, 4, 10, 8, 1, 6]","[7, 9, 5]",29.058,1,234,"[10, 5, 8, 1, 2, 7]","[9, 6, 3, 4]",29.541,3,222,"[4, 6, 3, 2, 1]","[10, 8, 9, 5, 7]",29.551,4,208,"[6, 7, 2, 9, 4, 8]","[10, 5, 3, 1]",31.007,8,219,"[10, 8, 4]","[9, 6, 7, 5, 3, 2, 1]",English,better,y,42,m,college
P045,true,183.724,0,206,"[2, 5, 8, 6]","[1, 3, 7, 4, 10, 9]",false,100,45.749,10,208,"[4, 2, 5, 9, 10]","[3, 1, 7, 8, 6]",213,0.5,38.079,3,239,"[5, 3, 1]","[8, 4, 6, 7, 2, 9, 10]",30.62,6,201,"[2, 4, 5, 8]","[7, 1, 9, 3, 6, 10]",38.029,1,187,"[5, 4, 9]","[7, 6, 8, 2, 3, 1, 10]",48.314,8,193,"[4, 6, 1, 7, 10]","[3, 9, 5, 2, 8]",41.772,4,208,"[2, 3, 4, 8, 10, 6, 9]","[1, 5, 7]",32.61,7,213,"[5, 3, 7, 10, 1]","[8, 4, 6, 2, 9]",44.689,2,198,"[4, 6, 3, 1]","[7, 5, 8, 2, 9, 10]",37.626,5,208,"[2, 6, 4, 7, 5, 9]","[3, 1, 8, 10]",33.749,9,213,"[5, 7, 9, 2, 8]","[6, 3, 1, 4, 10]",English,average,y,24,f,grad
P046,true,225.34,0,206,"[5, 8, 6, 9]","[3, 7, 10, 1, 4, 2]",false,100,46.923,6,195,"[4, 5, 6, 10, 2]","[9, 7, 1, 8, 3]",198,0.5,43.116,1,196,"[10, 7, 5, 2]","[4, 6, 8, 9, 3, 1]",50.276,7,221,"[9, 6, 8, 10, 2]","[4, 1, 7, 5, 3]",55.24,3,187,"[4, 9, 5]","[2, 7, 8, 1, 6, 10, 3]",38.174,5,193,"[10, 5, 7, 4, 1]","[3, 9, 8, 6, 2]",44.908,2,208,"[3, 4, 8, 7, 10, 2, 1]","[6, 9, 5]",60.411,9,234,"[10, 5, 8, 2, 7, 1]","[6, 4, 9, 3]",49.202,8,198,"[4, 6, 3, 10]","[9, 7, 8, 5, 2, 1]",40.195,10,220,"[6, 2, 7, 8, 5]","[4, 3, 9, 10, 1]",39.141,4,219,"[4, 8, 10]","[5, 7, 2, 9, 3, 6, 1]",english,better,y,54,f,grad
P047,true,581.293,0,206,"[9, 6, 2, 4]","[7, 10, 8, 3, 1, 5]",false,67,70.209,5,195,"[8, 10, 3, 4, 2]","[9, 7, 1, 5, 6]",213,0.44835680751173707,58.213,8,196,"[7, 10, 3, 2]","[9, 8, 6, 4, 1, 5]",40.259,3,221,"[7, 6, 3, 8, 2]","[9, 10, 1, 5, 4]",37.602,4,209,"[7, 10, 3, 4]","[9, 8, 6, 2, 1, 5]",39.785,1,203,"[3, 7, 8, 2, 4, 1]","[9, 10, 5, 6]",73.511,2,217,"[2, 4, 10, 6, 5]","[8, 3, 7, 9, 1]",43.765,10,224,"[6, 9, 7, 1]","[8, 10, 5, 4, 3, 2]",76.206,6,222,"[7, 6, 3, 4, 1]","[9, 10, 8, 5, 2]",29.899,7,220,"[8, 6, 7, 2, 1]","[9, 10, 4, 5, 3]",29.653,9,232,"[7, 3, 4, 2, 8]","[9, 6, 10, 5, 1]",English,better,y,25,f,grad
P048,true,171.988,0,230,"[2, 5, 9, 6, 4]","[1, 3, 7, 8, 10]",false,100,50.652,4,195,"[2, 5, 10, 8, 4]","[1, 3, 7, 9, 6]",195,0.5,43.047,7,210,"[1, 7, 9, 10]","[4, 5, 6, 3, 2, 8]",34.418,3,201,"[3, 2, 4, 6]","[1, 7, 9, 10, 5, 8]",36.028,5,200,"[10, 3, 5, 4]","[1, 2, 6, 7, 8, 9]",37.03,10,193,"[2, 7, 8, 5, 1]","[3, 4, 6, 9, 10]",36.869,6,285,"[4, 3, 2, 8, 10]","[1, 6, 9, 7, 5]",37.704,9,234,"[5, 10, 8, 6, 4, 7]","[2, 3, 9, 1]",58.531,8,198,"[4, 6, 3, 8]","[2, 1, 5, 7, 10, 9]",39.107,2,263,"[4, 2, 6, 9, 5, 8, 10]","[1, 3, 7]",38.729,1,213,"[1, 4, 9, 7, 5]","[2, 8, 10, 6, 3]",English,better,y,27,f,some-college
P049,true,188.542,0,206,"[9, 2, 5, 4]","[10, 3, 1, 7, 6, 8]",false,100,37.7,3,195,"[10, 2, 3, 5, 4]","[9, 7, 1, 8, 6]",213,0.5,31.354,5,196,"[10, 3, 5, 7]","[9, 6, 1, 4, 8, 2]",38.91,10,201,"[10, 3, 4, 6]","[9, 1, 7, 2, 5, 8]",40.276,8,187,"[10, 3, 4]","[6, 7, 2, 1, 8, 5, 9]",32.882,7,193,"[2, 1, 6, 7, 10]","[3, 9, 5, 4, 8]",42.65,1,208,"[10, 4, 2, 3, 8, 5, 1]","[9, 6, 7]",36.233,6,213,"[6, 2, 1, 8, 10]","[7, 4, 3, 9, 5]",32.055,2,222,"[4, 6, 3, 7, 1]","[10, 5, 2, 8, 9]",30.621,4,208,"[9, 3, 7, 2, 4, 6]","[10, 5, 1, 8]",29.018,9,219,"[10, 2, 1]","[9, 5, 6, 7, 3, 8, 4]",English,average,y,31,f,college
P050,true,149.405,0,206,"[8, 9, 4, 5]","[3, 10, 2, 1, 6, 7]",false,100,39.294,9,195,"[10, 8, 2, 4, 5]","[9, 7, 3, 1, 6]",195,0.5,97.291,7,196,"[7, 3, 2, 5]","[9, 10, 4, 6, 8, 1]",45.242,3,220,"[3, 5, 4, 2, 8]","[9, 1, 7, 10, 6]",36.34,4,187,"[9, 3, 5]","[6, 8, 2, 7, 1, 4, 10]",34.827,8,193,"[8, 4, 5, 1, 7]","[3, 9, 10, 6, 2]",31.392,5,208,"[10, 8, 3, 4, 1, 2, 7]","[9, 5, 6]",38.994,10,234,"[8, 9, 2, 1]","[4, 10, 5, 6, 3, 7]",32.027,6,198,"[3, 4, 6, 2]","[9, 10, 7, 5, 8, 1]",37.059,2,208,"[4, 6, 10, 3, 1, 2]","[7, 5, 9, 8]",37.327,1,219,"[8, 4, 1]","[9, 7, 5, 3, 6, 10, 2]",English,better,y,31,m,grad
