participant_id,consent,trial0_elapsed_time,trial0_windex,w0_completion_time,w0_chef1,w0_chef2,history,finalScore,trial1_elapsed_time,trial1_windex,w4_completion_time,w4_chef1,w4_chef2,optimal_time,round_score,trial2_elapsed_time,trial2_windex,w7_completion_time,w7_chef1,w7_chef2,trial3_elapsed_time,trial3_windex,w8_completion_time,w8_chef1,w8_chef2,trial4_elapsed_time,trial4_windex,w3_completion_time,w3_chef1,w3_chef2,trial5_elapsed_time,trial5_windex,w9_completion_time,w9_chef1,w9_chef2,trial6_elapsed_time,trial6_windex,w2_completion_time,w2_chef1,w2_chef2,trial7_elapsed_time,trial7_windex,w6_completion_time,w6_chef1,w6_chef2,trial8_elapsed_time,trial8_windex,w10_completion_time,w10_chef1,w10_chef2,trial9_elapsed_time,trial9_windex,w1_completion_time,w1_chef1,w1_chef2,trial10_elapsed_time,trial10_windex,w5_completion_time,w5_chef1,w5_chef2,language,enjoyment,assess,age,gender_cat,education
P025,true,222.835,0,206,"[8, 5, 4, 6]","[7, 3, 2, 1, 10, 9]",10 1 4 1 2 1 7 2 5 1 6 2 9 2 1 1 3 1 8 2,100,37.211,2,198,"[4, 3, 6, 5]","[7, 8, 9, 10, 2, 1]",194,0.5,44.14,7,224,"[10, 1, 2, 4]","[5, 7, 6, 9, 3, 8]",43.165,8,193,"[10, 1, 2, 4, 5]","[9, 8, 6, 3, 7]",50.398,4,201,"[8, 2, 3, 4]","[7, 9, 1, 10, 5, 6]",62.811,9,240,"[5, 8, 4, 10, 1]","[6, 7, 9, 3, 2]",77.516,5,196,"[10, 5, 2, 3]","[6, 8, 9, 4, 1, 7]",36.073,3,220,"[2, 7, 5, 6, 3]","[4, 8, 9, 10, 1]",50.715,1,194,"[10, 4, 2, 5, 1, 3]","[7, 6, 9, 8]",39.11,6,195,"[3, 2, 8, 4, 5]","[7, 9, 1, 10, 6]",36.375,10,187,"[5, 4, 10]","[6, 7, 8, 2, 3, 1, 9]",English,better,y,36,f,college
P026,true,432.061,0,276,"[2, 6, 5, 4, 9, 8]","[1, 3, 10, 7]",9 2 1 2 7 2 4 1 2 1 3 1 5 1 6 1 8 1 10 2 8 2,89,69.562,1,222,"[3, 4, 6, 1, 2]","[9, 10, 5, 7, 8]",201,0.4054726368159204,72.725,9,200,"[2, 4, 10, 3]","[1, 8, 5, 7, 6, 9]",67.987,6,203,"[3, 2, 5, 1, 10, 7]","[9, 4, 6, 8]",48.341,5,220,"[4, 2, 3, 5, 6]","[9, 1, 7, 10, 8]",68.004,4,240,"[5, 8, 1, 3, 10]","[9, 4, 7, 6, 2]",47.985,2,245,"[3, 2, 5, 7, 10]","[9, 4, 6, 8, 1]",57.539,8,220,"[2, 1, 3, 5, 4]","[6, 7, 9, 10, 8]",62.43,10,217,"[2, 4, 10, 7, 1]","[3, 8, 6, 5, 9]",46.702,7,234,"[2, 3, 4, 6, 5, 10]","[9, 7, 1, 8]",51.547,3,250,"[3, 4, 5, 9, 10]","[2, 1, 6, 7, 8]",English,better,y,51,f,college
P027,true,217.198,0,206,"[2, 4, 5, 6]","[1, 7, 10, 3, 9, 8]",3 2 5 2 6 2 7 2 9 2 1 1 2 1 4 1 10 1 8 2 3 1 10 2,100,78.337,2,198,"[3, 4, 6, 1]","[5, 7, 8, 9, 10, 2]",200,0.5,80.254,9,200,"[1, 2, 4, 3]","[5, 6, 7, 9, 8, 10]",85.316,1,193,"[1, 2, 4, 7, 5]","[9, 3, 10, 8, 6]",127.407,3,235,"[2, 3, 5, 7, 9]","[1, 4, 6, 10, 8]",109.929,10,234,"[5, 8, 10, 4, 6, 7]","[1, 2, 3, 9]",87.131,6,196,"[2, 3, 5, 7]","[4, 6, 8, 9, 1, 10]",92.055,4,208,"[1, 2, 4, 3, 8, 6]","[10, 5, 7, 9]",112.776,5,194,"[2, 3, 4, 1, 5, 8]","[10, 9, 7, 6]",73.284,8,195,"[2, 3, 4, 5, 8]","[9, 7, 1, 6, 10]",98.283,7,187,"[3, 4, 5]","[6, 1, 2, 7, 8, 10, 9]",German,better,y,33,m,college
P028,true,196.138,0,206,"[9, 2, 5, 6]","[10, 7, 3, 1, 8, 4]",10 2 5 2 7 2 8 2 9 2 3 1 4 1 6 1 1 1 2 2,100,61.975,7,198,"[3, 4, 6, 1]","[10, 5, 7, 8, 9, 2]",198,0.5,92.101,8,224,"[4, 8, 1, 2]","[5, 7, 6, 9, 3, 10]",90.438,9,193,"[4, 5, 6, 8, 10]","[3, 9, 7, 1, 2]",48.932,5,220,"[3, 2, 4, 5, 6]","[7, 9, 1, 8, 10]",47.433,6,224,"[1, 2, 3, 4]","[5, 8, 10, 7, 9, 6]",74.19,1,196,"[5, 2, 3, 10]","[6, 8, 7, 9, 4, 1]",61.085,3,224,"[1, 3, 5, 7]","[4, 6, 2, 9, 8, 10]",46.225,10,208,"[2, 4, 3, 8, 10, 1, 9]","[6, 7, 5]",80.637,2,195,"[3, 2, 4, 5, 6]","[7, 9, 1, 10, 8]",34.687,4,187,"[3, 4, 9]","[6, 7, 8, 2, 1, 5, 10]",French,better,y,27,m,grad
P029,true,158.953,0,219,"[1, 9, 6, 5]","[7, 10, 4, 8, 3, 2]",10 1 5 1 4 1 3 1 9 1 2 2 6 2 7 2 8 1 1 1,83,33.763,4,243,"[3, 7, 2, 6, 10]","[4, 5, 9, 8, 1]",193,0.38082901554404147,29.08,7,224,"[8, 2, 4, 1]","[5, 6, 7, 9, 3, 10]",25.573,5,216,"[10, 5, 4, 3, 9, 8, 1]","[2, 6, 7]",26.269,9,257,"[4, 2, 3]","[9, 7, 1, 6, 8, 10, 5]",25.264,6,224,"[6, 4, 2, 3]","[10, 5, 8, 7, 9, 1]",24.202,1,250,"[5, 7, 3, 2, 6]","[8, 9, 4, 1, 10]",26.12,2,250,"[6, 4, 9, 7, 1, 10]","[5, 3, 8, 2]",27.578,10,251,"[4, 3, 2, 8, 1]","[10, 9, 7, 6, 5]",28.014,3,195,"[4, 3, 5, 2, 6]","[7, 9, 1, 8, 10]",25.408,8,187,"[10, 4, 3]","[6, 7, 8, 2, 1, 5, 9]",English,better,y,20,m,high
P030,true,246.93,0,206,"[2, 4, 5, 6]","[1, 3, 7, 10, 9, 8]",6 2 7 2 8 2 2 2 1 2 9 2 5 1 3 1 4 1 10 1,86,36.842,4,198,"[3, 4, 6, 9]","[1, 5, 2, 7, 8, 10]",187,0.4304812834224599,35.494,7,280,"[1, 2, 4, 8, 10]","[5, 6, 7, 3, 9]",42.208,6,228,"[1, 2, 4, 5, 8, 10]","[3, 9, 6, 7]",28.875,2,220,"[6, 2, 3, 4, 8]","[7, 9, 1, 5, 10]",44.625,8,224,"[4, 1, 2, 6]","[5, 8, 10, 9, 7, 3]",27.76,3,196,"[2, 3, 5, 7]","[6, 8, 9, 4, 1, 10]",27.676,1,260,"[2, 4, 6, 5, 9]","[7, 1, 3, 8, 10]",30.132,10,194,"[4, 3, 2, 8, 6, 7]","[5, 9, 10, 1]",26.878,9,195,"[3, 2, 4, 5, 6]","[7, 9, 1, 10, 8]",21.601,5,200,"[5, 3, 4, 10]","[6, 7, 8, 2, 1, 9]",English,better,y,29,m,college
P031,true,262.482,0,206,"[9, 4, 2, 6]","[10, 7, 5, 1, 3, 8]",10 2 9 2 8 1 5 2 7 2 2 1 1 2 4 2 6 1 3 1,75,66.252,7,209,"[8, 2, 6, 3]","[10, 9, 5, 7, 1, 4]",198,0.4444444444444444,60.069,1,256,"[10, 4, 3, 1, 2]","[9, 5, 6, 8, 7]",89.212,9,216,"[3, 9, 1, 2, 4, 5, 8]","[10, 6, 7]",58.262,8,201,"[2, 4, 3, 8]","[9, 7, 1, 6, 10, 5]",58.773,6,234,"[10, 2, 1, 4]","[5, 8, 9, 7, 6, 3]",79.132,5,201,"[3, 2, 1, 7]","[10, 5, 6, 4, 9, 8]",50.917,3,220,"[2, 10, 5, 7, 4]","[6, 8, 9, 3, 1]",61.466,2,194,"[9, 7, 10, 3, 4, 2]","[5, 6, 1, 8]",57.618,10,247,"[2, 4, 1, 5, 3, 6]","[7, 9, 8, 10]",73.337,4,187,"[5, 3, 9]","[8, 6, 7, 4, 10, 2, 1]",English,average,y,36,m,college
P032,true,252.679,0,230,"[2, 4, 5, 6, 9]","[1, 3, 7, 10, 8]",4 2 6 2 8 2 9 2 2 1 3 1 5 1 7 1 1 2 10 2,100,54.624,1,198,"[3, 4, 6, 1]","[10, 9, 8, 7, 2, 5]",196,0.5,41.684,7,280,"[1, 2, 4, 8, 10]","[9, 3, 5, 6, 7]",79.236,8,193,"[1, 2, 4, 5, 10]","[3, 9, 6, 7, 8]",45.298,6,201,"[2, 3, 4, 5]","[1, 9, 7, 6, 10, 8]",46.851,3,261,"[5, 8, 1, 2]","[10, 3, 6, 4, 7, 9]",47.993,4,196,"[2, 3, 5, 7]","[4, 6, 8, 9, 1, 10]",69.998,5,220,"[2, 4, 1, 3, 9]","[6, 5, 7, 8, 10]",56.049,9,213,"[2, 3, 1, 5, 9]","[4, 8, 6, 7, 10]",39.404,10,195,"[2, 3, 4, 5, 8]","[7, 9, 1, 6, 10]",54.184,2,187,"[3, 4, 5]","[1, 2, 8, 6, 7, 10, 9]",spanish,better,y,43,m,college
P033,true,392.946,0,206,"[9, 4, 5, 2]","[1, 7, 8, 10, 6, 3]",6 2 4 1 2 2 5 2 3 1 1 1 7 2 8 1 9 2 10 1,73,61.873,10,222,"[6, 4, 3, 8, 1]","[10, 9, 2, 7, 5]",208,0.3605769230769231,37.474,7,232,"[7, 3, 1, 2, 8]","[9, 5, 6, 4, 10]",37.525,1,203,"[9, 1, 2, 5, 6, 8]","[3, 4, 7, 10]",43.723,5,201,"[5, 2, 3, 10]","[9, 7, 1, 6, 8, 4]",39.373,9,234,"[10, 1, 2, 4]","[5, 8, 7, 9, 6, 3]",40.009,2,227,"[2, 3, 5]","[6, 4, 9, 8, 1, 7, 10]",40.811,3,237,"[4, 3, 1, 8, 10]","[6, 2, 5, 7, 9]",61.84,4,251,"[10, 4, 3, 8, 5]","[9, 2, 6, 1, 7]",34.607,8,234,"[10, 3, 2, 4, 5, 8]","[9, 1, 7, 6]",35.176,6,187,"[3, 9, 10]","[6, 7, 8, 2, 1, 4, 5]",French,average,y,37,m,some-college
P034,true,330.698,0,206,"[5, 6, 2, 8]","[10, 7, 3, 1, 9, 4]",1 2 4 2 6 2 8 2 9 2 2 1 3 1 5 1 7 1 10 2,100,43.715,4,198,"[3, 4, 6, 1]","[10, 9, 8, 5, 7, 2]",196,0.5,41.691,7,224,"[1, 2, 4, 8]","[9, 6, 7, 5, 3, 10]",41.847,9,228,"[10, 1, 2, 4, 5, 6]","[3, 9, 7, 8]",52.306,1,201,"[2, 3, 4, 5]","[1, 7, 9, 8, 10, 6]",47.524,8,224,"[4, 1, 2, 3]","[10, 5, 8, 9, 7, 6]",44.535,10,196,"[2, 3, 5, 7]","[1, 4, 6, 8, 9, 10]",47.926,5,224,"[1, 3, 5, 7]","[2, 4, 6, 8, 9, 10]",41.682,6,228,"[8, 10, 2, 4, 3, 5]","[1, 6, 7, 9]",49.284,3,234,"[2, 3, 4, 5, 6, 10]","[9, 7, 1, 8]",40.753,2,200,"[3, 4, 5, 10]","[1, 2, 6, 7, 8, 9]",English,better,y,40,m,grad
P035,true,336.315,0,206,"[9, 5, 2, 6]","[3, 1, 8, 4, 7, 10]",4 2 6 2 5 1 2 1 3 2 9 1 7 1 1 2 8 2 10 1,73,85.869,7,198,"[3, 4, 6, 8]","[10, 9, 2, 5, 1, 7]",208,0.3605769230769231,54.81,5,280,"[1, 4, 2, 8, 10]","[9, 5, 7, 3, 6]",62.794,1,193,"[2, 10, 1, 5, 4]","[9, 3, 6, 7, 8]",57.644,3,264,"[5, 4, 3, 2, 6, 10]","[9, 1, 7, 8]",65.493,10,261,"[8, 5, 3, 2]","[9, 4, 10, 6, 7, 1]",71.276,4,196,"[2, 3, 5, 10]","[9, 4, 6, 7, 1, 8]",59.794,2,237,"[5, 2, 9, 7, 10]","[4, 6, 3, 1, 8]",60.227,8,194,"[4, 3, 2, 6, 1, 10]","[7, 9, 8, 5]",99.16,9,234,"[3, 4, 6, 5, 2, 10]","[7, 9, 1, 8]",106.36,6,187,"[3, 4, 10]","[6, 7, 8, 2, 1, 9, 5]",,better,y,41,f,high
P036,true,273.603,0,230,"[2, 4, 5, 6, 8]","[1, 3, 7, 10, 9]",9 2 3 2 5 1 2 1 6 2 7 1 10 2 8 1 4 2 1 1,100,57.281,1,231,"[3, 4, 6]","[8, 7, 9, 5, 10, 1, 2]",193,0.5,43.055,7,224,"[10, 2, 1, 4]","[9, 8, 7, 6, 5, 3]",47.983,2,193,"[5, 2, 7, 8, 1]","[9, 3, 6, 10, 4]",49.728,3,201,"[10, 4, 2, 3]","[9, 1, 7, 5, 6, 8]",44.609,6,234,"[3, 2, 5, 4, 8, 10]","[7, 9, 6, 1]",48.376,10,245,"[10, 2, 3, 5, 7]","[4, 1, 6, 8, 9]",57.7,4,208,"[4, 2, 6, 1, 3, 7]","[5, 8, 9, 10]",46.337,9,228,"[10, 2, 3, 4, 8, 5]","[9, 7, 6, 1]",45.397,5,273,"[2, 6, 3, 4, 5, 8, 10]","[7, 1, 9]",48.169,8,200,"[3, 4, 5, 10]","[6, 8, 7, 2, 1, 9]",English,better,y,,f,some-college
P037,true,289.443,0,206,"[5, 8, 4, 6]","[10, 2, 9, 1, 7, 3]",1 1 5 1 6 2 7 2 8 2 4 1 9 1 2 2 10 2 3 2,60,105.387,3,220,"[9, 10, 4, 8]","[3, 6, 7, 5, 2, 1]",194,0.4381443298969072,40.236,6,228,"[1, 5, 3, 7, 9, 6]","[8, 10, 4, 2]",54.048,9,193,"[5, 6, 2, 4, 10]","[1, 8, 7, 9, 3]",54.089,5,235,"[3, 2, 6, 7, 9]","[8, 10, 4, 1, 5]",41.263,2,213,"[5, 10, 2, 4, 9]","[8, 7, 3, 6, 1]",105.543,8,210,"[7, 2, 1, 4]","[3, 5, 10, 6, 8, 9]",61.844,1,208,"[3, 1, 9, 6, 4, 2]","[5, 8, 7, 10]",88.115,7,206,"[1, 5, 4, 9]","[6, 7, 8, 2, 10, 3]",48.188,4,195,"[2, 5, 6, 4, 3]","[1, 7, 9, 10, 8]",42.784,10,218,"[4, 3, 1, 6]","[9, 10, 5, 2, 7, 8]",English,better,y,35,m,college
P038,true,355.862,0,206,"[2, 4, 5, 6]","[1, 7, 10, 8, 3, 9]",9 1 3 2 1 1 2 2 4 1 5 2 6 1 7 1 8 2 10 1,91,68.729,7,198,"[3, 4, 6, 8]","[1, 2, 5, 10, 9, 7]",193,0.4481865284974093,78.034,10,219,"[1, 10, 4]","[3, 5, 7, 9, 6, 2, 8]",101.695,1,203,"[9, 1, 4, 6, 7, 10]","[3, 2, 5, 8]",59.92,9,201,"[2, 3, 4, 5]","[1, 7, 9, 6, 8, 10]",81.342,4,234,"[5, 1, 10, 8, 7, 9]","[2, 3, 4, 6]",94.6,2,227,"[2, 5, 7]","[6, 3, 8, 4, 1, 10, 9]",106.464,5,237,"[2, 8, 1, 3, 10]","[6, 4, 9, 7, 5]",46.435,6,208,"[2, 4, 3, 8, 10, 6, 1]","[9, 5, 7]",56.961,3,195,"[2, 3, 4, 5, 10]","[7, 1, 9, 6, 8]",47.696,8,200,"[10, 3, 4, 5]","[6, 7, 8, 2, 1, 9]",Sinhala,average,y,40,m,grad
P039,true,434.899,0,206,"[8, 4, 2, 5]","[10, 3, 6, 7, 1, 9]",3 1 6 1 4 1 10 2 8 2 9 2 7 2 5 1 2 2 1 1,89,98.994,5,222,"[3, 6, 4, 5, 1]","[10, 8, 9, 7, 2]",198,0.3787878787878788,82.088,9,232,"[8, 4, 1, 3, 5]","[10, 2, 6, 9, 7]",64.434,2,193,"[7, 8, 10, 5, 1]","[3, 9, 2, 6, 4]",76.677,8,220,"[4, 8, 5, 3, 2]","[9, 7, 1, 10, 6]",76.142,1,261,"[8, 10, 1, 7]","[5, 9, 2, 6, 4, 3]",109.746,10,250,"[3, 2, 5, 1, 10]","[9, 6, 8, 4, 7]",95.219,3,220,"[8, 9, 3, 4, 2]","[7, 10, 1, 5, 6]",132.404,7,285,"[10, 3, 4, 2, 8]","[5, 7, 9, 6, 1]",59.175,6,195,"[10, 8, 2, 4, 5]","[7, 9, 1, 6, 3]",75.076,4,200,"[4, 3, 5, 10]","[8, 6, 2, 7, 9, 1]",English,better,y,39,f,college
P040,true,397.285,0,219,"[1, 9, 8, 4]","[2, 10, 5, 7, 3, 6]",7 1 9 2 3 2 10 1 5 2 6 1 4 2 8 2 1 1 2 1,100,59.565,10,198,"[3, 4, 6, 1]","[7, 9, 2, 5, 8, 10]",193,0.5,56.63,4,200,"[2, 1, 5, 10]","[4, 8, 9, 7, 6, 3]",54.391,3,193,"[7, 10, 6, 1, 2]","[9, 3, 5, 4, 8]",53.291,1,201,"[2, 8, 4, 3]","[9, 1, 7, 5, 10, 6]",60.653,2,234,"[8, 4, 2, 1]","[5, 10, 7, 9, 6, 3]",58.034,9,245,"[10, 3, 5, 2, 7]","[9, 1, 6, 8, 4]",149.927,7,260,"[2, 4, 6, 7, 1]","[10, 9, 5, 3, 8]",129.95,6,194,"[2, 4, 10, 6, 3, 1]","[9, 7, 5, 8]",171.82,5,195,"[2, 3, 10, 4, 6]","[9, 7, 5, 1, 8]",123.293,8,187,"[4, 5, 3]","[8, 6, 7, 10, 9, 1, 2]",English,average,y,50,f,college
P041,true,969.335,0,219,"[9, 10, 6, 2]","[8, 7, 5, 3, 4, 1]",6 2 7 2 8 2 1 2 2 2 5 1 4 1 3 1 9 1 10 1,75,62.525,9,222,"[3, 4, 6, 9, 2]","[5, 7, 8, 10, 1]",187,0.16310160427807485,68.225,6,232,"[6, 3, 4, 2, 1]","[9, 5, 7, 8, 10]",62.426,4,285,"[9, 3, 10, 2, 7]","[5, 6, 8, 4, 1]",59.911,1,221,"[10, 4, 3, 7, 2]","[9, 1, 6, 5, 8]",63.442,7,261,"[1, 10, 5, 9]","[3, 6, 8, 7, 4, 2]",84.693,8,245,"[10, 2, 7, 3, 5]","[6, 4, 8, 9, 1]",60.149,3,260,"[3, 2, 4, 6, 5]","[10, 9, 8, 7, 1]",72.246,2,285,"[3, 2, 4, 8, 10]","[5, 6, 7, 9, 1]",65.377,10,221,"[8, 3, 4, 7, 1]","[5, 6, 2, 10, 9]",83.677,5,250,"[5, 4, 3, 9, 10]","[6, 7, 8, 1, 2]",english,better,y,45,m,grad
P042,true,535.928,0,232,"[3, 1, 5, 2]","[4, 6, 9, 10, 8, 7]",8 2 7 2 2 2 6 2 1 2 4 1 3 1 9 2 5 1 10 1,86,138.496,10,222,"[4, 3, 6, 5, 1]","[2, 9, 10, 8, 7]",187,0.4304812834224599,140.821,8,256,"[7, 1, 2, 8, 10]","[9, 5, 6, 3, 4]",124.328,2,193,"[8, 10, 4, 5, 1]","[9, 3, 2, 7, 6]",146.387,3,220,"[2, 4, 3, 5, 8]","[9, 7, 1, 6, 10]",122.357,6,234,"[3, 9, 4, 5, 8, 10]","[6, 7, 2, 1]",166.384,9,196,"[2, 3, 5, 7]","[9, 8, 4, 1, 6, 10]",106.551,4,280,"[3, 7, 5, 1, 9]","[2, 6, 4, 8, 10]",107.749,7,217,"[5, 1, 8, 10, 2]","[4, 3, 6, 7, 9]",131.91,1,234,"[4, 2, 3, 5, 6, 8]","[7, 9, 1, 10]",125.673,5,200,"[4, 3, 5, 10]","[8, 7, 2, 6, 1, 9]",English,better,y,33,m,college
P043,true,351.122,0,206,"[8, 9, 6, 2]","[10, 7, 3, 4, 5, 1]",4 1 2 1 6 1 5 2 8 1 7 2 9 1 3 2 10 1 1 2,100,152.637,3,198,"[4, 3, 6, 2]","[10, 7, 8, 9, 5, 1]",208,0.5,61.356,10,219,"[8, 4, 10]","[5, 7, 9, 6, 3, 2, 1]",116.236,4,193,"[10, 7, 8, 4, 1]","[9, 3, 5, 2, 6]",233.249,8,201,"[10, 3, 4, 2]","[9, 7, 1, 6, 5, 8]",112.024,5,213,"[8, 5, 4, 7, 6]","[10, 9, 3, 2, 1]",94.635,1,196,"[7, 2, 3, 10]","[6, 8, 9, 4, 1, 5]",66.936,9,208,"[4, 2, 6, 8, 9, 10]","[5, 7, 3, 1]",134.513,7,217,"[8, 2, 4, 5, 1]","[3, 10, 9, 7, 6]",71.414,2,195,"[10, 4, 3, 2, 5]","[7, 9, 1, 8, 6]",75.261,6,187,"[3, 4, 5]","[8, 7, 6, 2, 1, 10, 9]",,,,,,
P044,true,158.136,0,206,"[9, 8, 6, 2]","[10, 7, 1, 4, 5, 3]",8 2 6 2 7 2 2 2 1 2 3 1 4 1 5 1 9 2 10 2,100,75.957,9,222,"[3, 4, 6, 2, 1]","[7, 8, 9, 10, 5]",187,0.5,55.057,1,219,"[4, 8, 1]","[9, 5, 6, 3, 7, 2, 10]",44.21,4,193,"[8, 5, 4, 6, 7]","[9, 3, 2, 1, 10]",97.388,6,220,"[5, 2, 4, 8, 10]","[9, 7, 1, 3, 6]",65.16,7,240,"[5, 10, 8, 6, 9]","[4, 3, 7, 2, 1]",53.903,8,196,"[3, 2, 5, 7]","[4, 6, 8, 1, 9, 10]",69.71,10,208,"[5, 3, 4, 6, 2, 8]","[9, 1, 7, 10]",151.12,2,194,"[5, 6, 4, 3, 2, 8]","[9, 1, 7, 10]",51.59,3,195,"[5, 3, 8, 10, 6]","[9, 7, 1, 2, 4]",48.988,5,187,"[3, 4, 5]","[8, 6, 7, 2, 1, 9, 10]",English,better,y,33,f,some-college
P045,true,273.177,0,219,"[1, 2, 4, 8]","[3, 7, 10, 6, 5, 9]",9 2 7 2 1 2 10 1 2 1 3 1 4 1 5 1 6 2 8 2,100,58.973,7,198,"[3, 4, 6, 5]","[1, 2, 9, 10, 8, 7]",195,0.5,48.774,10,256,"[2, 4, 7, 1, 10]","[3, 5, 6, 8, 9]",50.863,6,216,"[9, 1, 4, 10, 7, 2, 3]","[5, 8, 6]",60.911,8,220,"[2, 3, 4, 5, 6]","[1, 9, 7, 10, 8]",49.946,9,213,"[1, 2, 4, 8, 5]","[3, 6, 7, 9, 10]",63.798,4,201,"[8, 2, 3, 5]","[1, 4, 6, 9, 10, 7]",56.096,2,237,"[1, 2, 3, 7, 5]","[4, 6, 10, 9, 8]",47.956,5,194,"[3, 2, 4, 1, 10, 6]","[5, 7, 8, 9]",53.585,3,195,"[10, 2, 3, 4, 5]","[9, 7, 1, 6, 8]",48.572,1,200,"[10, 3, 4, 5]","[2, 1, 6, 8, 7, 9]",english,average,y,74,m,college
P046,true,356.78,0,206,"[4, 5, 8, 6]","[3, 1, 7, 2, 9, 10]",3 1 4 1 10 2 5 2 6 2 1 1 2 1 4 2 9 1 8 2 7 2,57,228.3,1,198,"[3, 4, 6, 7]","[10, 9, 8, 1, 2, 5]",187,0.3342245989304813,95.031,4,200,"[1, 2, 10, 9]","[5, 6, 7, 3, 4, 8]",104.42,7,228,"[1, 2, 6, 5, 7, 8]","[4, 10, 9, 3]",119.911,9,201,"[3, 5, 6, 8]","[2, 4, 10, 1, 7, 9]",90.504,3,213,"[5, 9, 10, 6, 7]","[1, 2, 3, 4, 8]",104.522,2,201,"[2, 3, 4, 5]","[1, 6, 9, 8, 10, 7]",51.679,6,220,"[8, 9, 10, 2, 4]","[3, 1, 7, 5, 6]",86.855,8,194,"[1, 5, 2, 3, 4, 8]","[6, 7, 9, 10]",66.718,10,195,"[2, 3, 4, 5, 10]","[1, 9, 7, 8, 6]",86.408,5,218,"[3, 1, 2, 9]","[10, 5, 6, 4, 8, 7]",English,better,y,34,f,college
P047,true,197.171,0,230,"[2, 4, 5, 6, 8]","[1, 3, 7, 10, 9]",1 1 2 1 5 1 8 2 3 2 4 2 6 2 10 2 7 2 9 1,89,58.444,6,198,"[3, 4, 6, 5]","[1, 2, 7, 8, 9, 10]",213,0.4014084507042254,36.667,3,232,"[1, 3, 7, 4, 8]","[5, 6, 2, 9, 10]",44.425,1,193,"[1, 2, 4, 5, 6]","[9, 7, 8, 10, 3]",39.945,10,220,"[2, 3, 4, 8, 10]","[1, 7, 9, 5, 6]",48.498,5,234,"[1, 2, 5, 9]","[8, 3, 4, 6, 10, 7]",56.124,7,210,"[6, 2, 9, 7]","[1, 4, 5, 8, 3, 10]",46.51,8,272,"[1, 4, 6, 7]","[2, 3, 5, 8, 9, 10]",67.24,2,274,"[2, 4, 10, 6]","[3, 8, 1, 5, 9, 7]",47.58,4,234,"[2, 4, 5, 6, 8, 10]","[1, 3, 7, 9]",39.509,9,286,"[1, 2, 6, 7, 10]","[3, 4, 5, 9, 8]",English,better,y,,m,college
P048,true,994.245,0,206,"[8, 5, 2, 6]","[1, 3, 4, 7, 10, 9]",2 1 3 1 4 1 1 2 8 1 10 1 5 2 6 2 7 2 9 2,73,67.785,9,222,"[3, 4, 6, 7, 10]","[2, 1, 5, 8, 9]",194,0.030927835051546393,37.22,8,232,"[1, 4, 10, 5, 7]","[2, 8, 3, 6, 9]",38.208,4,193,"[1, 2, 4, 7, 10]","[3, 9, 5, 6, 8]",53.757,5,201,"[2, 3, 5, 8]","[1, 7, 9, 4, 6, 10]",37.01,7,213,"[5, 8, 3, 6, 9]","[2, 1, 4, 10, 7]",52.973,6,196,"[2, 3, 7, 10]","[1, 4, 6, 8, 5, 9]",39.858,1,220,"[2, 7, 9, 4, 1]","[6, 5, 3, 8, 10]",34.776,3,285,"[2, 3, 4, 8, 10]","[1, 5, 6, 7, 9]",38.076,2,234,"[2, 3, 4, 8, 5, 6]","[1, 7, 9, 10]",56.416,10,209,"[3, 7, 5, 10]","[1, 2, 6, 4, 9, 8]",English,better,y,36,f,grad
P049,true,423.08,0,230,"[2, 4, 9, 6, 5]","[3, 10, 1, 7, 8]",2 1 4 2 3 2 8 2 2 2 1 1 5 1 6 2 7 2 9 1 10 1,60,53.516,1,198,"[3, 4, 6, 8]","[1, 2, 5, 7, 9, 10]",194,0.4381443298969072,60.371,4,312,"[10, 4, 1, 2, 8, 9]","[3, 5, 6, 7]",62.895,8,228,"[4, 1, 2, 6, 5, 7]","[3, 9, 10, 8]",85.589,3,220,"[10, 8, 2, 3, 5]","[1, 7, 9, 4, 6]",80.936,2,224,"[1, 2, 4, 7]","[5, 8, 10, 3, 6, 9]",76.103,6,255,"[2, 3, 9, 5, 8]","[1, 4, 7, 6, 10]",69.097,5,237,"[1, 3, 8, 10, 2]","[5, 7, 9, 4, 6]",79.295,7,206,"[1, 5, 9, 10]","[4, 3, 8, 2, 6, 7]",82.833,9,234,"[2, 5, 3, 4, 8, 10]","[1, 7, 9, 6]",74.28,10,200,"[5, 3, 4, 10]","[1, 2, 6, 9, 8, 7]",arabic,average,y,35,m,high
